% American Institute of Steel Construction, 2017.  All values are inches raised to the appropriate power.
% Shape, D, B, tw, tf
WT125X57.5	135	259	13.5	22.1
WT125X50.5	132	257	11.9	19.6
WT125X44.5	130	257	10.7	17.3
WT125X40	128	254	9.40	15.6
WT125X36.5	127	254	8.64	14.2
WT125X33.5	128	204	8.89	15.7
WT125X29	126	203	8.00	13.5
WT125X24.55	124	202	7.37	11.0
WT125X22.4	133	148	7.62	13.0
WT125X19.25	131	147	6.60	11.2
WT125X16.35	129	146	6.10	9.14
WT125X14.2	130	102	6.35	10.0
WT125X12.65	129	102	6.10	8.38
WT125X11.15	127	102	5.84	6.86
WT125X8.95	125	101	4.83	5.33
WT100X50	114	210	14.5	23.7
WT100X43	111	209	13.0	20.6
WT100X35.5	108	206	10.2	17.4
WT100X29.5	105	205	9.14	14.2
WT100X26	103	204	7.87	12.6
WT100X23.05	102	203	7.24	11.0
WT100X20.85	102	166	7.24	11.8
WT100X17.95	101	165	6.22	10.2
WT100X15.65	105	134	6.35	10.2
WT100X13.3	103	133	5.84	8.38
WT100X11.25	103	102	6.22	8.00
WT100X9.65	102	102	5.84	6.48
WT100X7.5	100	100	4.32	5.21
WT75X18.55	81.0	154	8.13	11.6
WT75X14.9	78.7	153	6.60	9.27
WT75X11.25	76.2	152	5.84	6.60
WT75X12	79.8	102	6.60	10.3
WT75X9	76.7	102	5.84	7.11
WT75X6.75	74.9	100	4.32	5.46
WT75X6.5	74.2	100	4.32	4.95
WT65X14.05	65.5	128	6.86	10.9
WT65X11.9	63.8	127	6.10	9.14
WT50X9.65	52.8	103	7.11	8.76
MT159X9.25	159	95.3	3.94	5.79
MT159X8.65	159	88.9	3.94	5.36
MT155X8.8	152	78.0	4.50	5.72
MT155X8.05	152	78.0	4.06	5.33
MT155X7.45	152	82.6	3.78	4.57
MT125X6.7	127	68.3	3.99	5.23
MT125X5.95	126	68.3	3.58	4.62
MT125X5.6	127	68.3	3.30	4.39
MT100X4.85	102	57.9	3.43	4.80
MT100X4.6	102	57.9	3.28	4.50
MT75X3.3	76.2	46.7	2.90	4.34
MT75X2.75	75.2	50.8	2.49	3.28
MT65X14.05	63.5	127	8.03	10.6
MT50X4.45	48.3	96.5	3.30	4.06

